accommodation_id,name,accommodation_type,gender_preference,latitude,longitude,monthly_rent,wifi,ac,food_mess,laundry
JPR0024,Silver Oak Point,Hostel,Boys,26.831573,75.821566,Rs. 4500,1.0,0.0,0.0,0.0
JPR0025,Silver Oak Retreat,PG,Co-ed,26.85256,75.83014,"₹10,400/month",1.0,1.0,0.0,1.0
JPR0026,Highland Retreat,Hostel,Boys,26.915222,75.732929,"₹9,200/month",0.0,0.0,0.0,1.0
JPR0027,Green Valley Manor,PG,Girls,26.796179,75.865686,10500 per month,1.0,1.0,1.0,0.0
JPR0028,Golden Nest Residency,Independent Flat,Girls,26.811406,75.843135,INR 13000/month,1.0,1.0,1.0,1.0
JPR0029,Prime House,Independent Flat,Boys,26.853885,75.815107,Rs. 4600,0.0,0.0,0.0,0.0
JPR0030,Cozy Manor,Independent Flat,Boys,26.814989,75.845213,Rs. 4600,0.0,0.0,0.0,0.0
JPR0031,Crimson Nest,PG,Co-ed,26.936176,75.741403,5100 per month,0.0,0.0,0.0,0.0
JPR0032,Comfort House,Independent Flat,Co-ed,26.842871,75.819291,18500 per month,1.0,1.0,1.0,0.0
JPR0033,Amber Palace,PG,Boys,26.937207,75.740277,11700 per month,1.0,0.0,1.0,0.0
JPR0034,Urban Court,Hostel,Co-ed,26.772904,75.855982,7400,1.0,1.0,0.0,0.0
JPR0035,Urban Nest,Hostel,Co-ed,26.78928,75.823604,13500,1.0,1.0,1.0,1.0
JPR0036,Copper Leaf Retreat,PG,Girls,26.91727,75.740819,14200,1.0,1.0,1.0,0.0
JPR0037,Crimson Homes,Independent Flat,Girls,26.841112,75.806074,"₹13,700/month",0.0,1.0,1.0,1.0
JPR0038,Golden Nest Address,PG,Co-ed,26.836857,75.806622,Rs. 17900,1.0,1.0,1.0,1.0
JPR0039,Green Valley Villa,Hostel,Girls,26.906688,75.725672,INR 5100/month,1.0,0.0,0.0,0.0
JPR0040,Prime Address,Hostel,Boys,26.910916,75.742382,"₹11,700/month",0.0,1.0,1.0,0.0
JPR0041,Prime Homes,Hostel,Co-ed,26.893079,75.817669,Rs. 8900,1.0,1.0,1.0,1.0
JPR0042,Highland Retreat,PG,Girls,26.842727,75.815178,Rs. 16500,1.0,1.0,1.0,1.0
JPR0043,Maple Stay,PG,Boys,26.842453,75.813617,10100 per month,0.0,1.0,0.0,1.0
JPR0044,Royal House,Hostel,Girls,26.878269,75.772713,10100 per month,1.0,0.0,1.0,1.0
JPR0045,Maple Manor,PG,Girls,26.862869,75.761646,"₹8,300/month",1.0,0.0,1.0,0.0
JPR0046,Ivory Heights,PG,Co-ed,26.911743,75.747346,6100 per month,1.0,0.0,0.0,0.0
JPR0047,Urban Address,PG,Girls,26.90323,75.730318,Rs. 12200,1.0,1.0,1.0,1.0
JPR0048,Silver Oak Stay,PG,Boys,26.837204,75.80746,18900 per month,1.0,1.0,1.0,1.0
JPR0049,Elite Villa,Independent Flat,Girls,26.830967,75.80873,17600,1.0,1.0,,1.0
JPR0050,Prime Address,PG,Girls,26.908742,75.75071,8000 per month,0.0,0.0,0.0,1.0
JPR0051,Royal Address,Hostel,Boys,26.95866,75.847993,Rs. 4500,0.0,0.0,0.0,0.0
JPR0052,Amber Stay,PG,Girls,26.844503,75.810197,"₹7,800/month",0.0,0.0,0.0,0.0
JPR0053,Green Valley Nest,PG,Co-ed,26.857235,75.876801,INR 9300/month,1.0,1.0,0.0,1.0
JPR0054,Copper Leaf Point,PG,Boys,26.925968,75.773547,14400 per month,1.0,1.0,1.0,1.0
JPR0055,Sunrise Villa,PG,Girls,26.84214,75.81357,Rs. 6800,0.0,1.0,0.0,0.0
JPR0056,Sunshine Retreat,PG,Boys,26.86916,75.819365,INR 10800/month,0.0,0.0,1.0,1.0
JPR0057,Crimson Villa,Hostel,Boys,26.916603,75.742585,INR 19400/month,1.0,1.0,0.0,1.0
JPR0058,Highland Court,PG,Boys,26.882577,75.808551,11100,1.0,1.0,1.0,0.0
JPR0059,Blue Orchid House,PG,Boys,26.920237,75.753404,INR 12200/month,0.0,0.0,0.0,0.0
JPR0060,Sunshine Point,PG,Co-ed,26.849312,75.813925,Rs. 11600,0.0,1.0,0.0,1.0
JPR0061,Amber Enclave,PG,Boys,26.883069,75.854811,Rs. 9700,1.0,0.0,1.0,1.0
JPR0062,Highland Nest,Independent Flat,Girls,26.839286,75.834442,5100 per month,1.0,1.0,0.0,1.0
JPR0063,Highland Heights,Hostel,Boys,26.805237,75.8328,9200 per month,1.0,1.0,1.0,0.0
JPR0064,Green Valley Stay,PG,Co-ed,26.826582,75.892415,11200 per month,1.0,0.0,0.0,0.0
JPR0065,Zenith Homes,PG,Girls,26.912462,75.737012,INR 19600/month,1.0,0.0,1.0,1.0
JPR0066,Golden Nest Enclave,Independent Flat,Girls,26.878617,75.771612,INR 7800/month,1.0,0.0,1.0,1.0
JPR0067,Crimson Palace,PG,Boys,26.825661,75.79944,11500,1.0,1.0,1.0,0.0
JPR0068,Crimson Address,Hostel,Girls,26.826932,75.874023,6900 per month,0.0,0.0,0.0,0.0
JPR0069,Sunshine Manor,PG,Boys,26.793891,75.843312,"₹10,300/month",1.0,,1.0,0.0
JPR0070,Silver Oak Retreat,Independent Flat,Co-ed,26.83429,75.794162,6000,0.0,1.0,0.0,0.0
JPR0071,Highland Palace,Independent Flat,Girls,26.842744,75.81405,"₹6,000/month",0.0,0.0,0.0,0.0
JPR0072,Silver Oak Residency,Hostel,Girls,26.938478,75.753618,INR 8200/month,0.0,1.0,0.0,0.0
JPR0073,Urban Stay,PG,Girls,26.842808,75.836319,18900,1.0,0.0,0.0,1.0
JPR0074,Crimson Point,PG,Boys,26.839526,75.825082,5600,0.0,1.0,0.0,0.0
JPR0075,Copper Leaf Heights,PG,Girls,26.813887,75.838517,Rs. 10100,1.0,0.0,0.0,0.0
JPR0076,Comfort Stay,PG,Girls,26.83494,75.809394,INR 12600/month,1.0,0.0,1.0,0.0
JPR0077,Royal Residency,PG,Girls,26.834685,75.799026,INR 5700/month,1.0,1.0,0.0,0.0
JPR0078,Highland Court,PG,Girls,26.809002,75.780116,11000,1.0,1.0,1.0,1.0
JPR0079,Copper Leaf Stay,Hostel,Boys,26.917646,75.73799,INR 11200/month,1.0,0.0,1.0,0.0
JPR0080,Maple Retreat,Hostel,Boys,26.906636,75.732479,10800,1.0,0.0,0.0,1.0
JPR0081,Crimson Homes,PG,Co-ed,26.761314,75.789201,Rs. 5900,,0.0,0.0,0.0
JPR0082,Zenith Point,PG,Girls,26.805469,75.869188,7600,1.0,0.0,0.0,0.0
JPR0083,Copper Leaf Homes,Independent Flat,Girls,26.84182,75.872488,INR 9400/month,1.0,0.0,0.0,1.0
JPR0084,Golden Nest Retreat,PG,Co-ed,26.81556,75.847447,INR 10800/month,1.0,1.0,0.0,0.0
JPR0085,Highland Stay,Hostel,Boys,26.809984,75.833411,7200,0.0,0.0,0.0,0.0
JPR0086,Serene Stay,PG,Co-ed,26.912591,75.751209,10300,1.0,0.0,0.0,0.0
JPR0087,Green Valley Point,PG,Co-ed,26.924066,75.695678,6300,0.0,0.0,0.0,0.0
JPR0088,Copper Leaf Heights,PG,Co-ed,26.812094,75.879052,8400 per month,0.0,1.0,1.0,1.0
JPR0089,Serene Address,PG,Co-ed,26.879851,75.759414,INR 4200/month,0.0,0.0,0.0,
JPR0090,Royal Residency,Hostel,Boys,26.817678,75.848197,INR 14300/month,1.0,0.0,1.0,1.0
JPR0091,Comfort Point,Hostel,Boys,26.845353,75.811858,,0.0,0.0,1.0,0.0
JPR0092,Green Valley Nest,PG,Girls,26.821073,75.863084,5100,0.0,0.0,0.0,1.0
JPR0093,Crimson Residency,Independent Flat,Boys,26.828071,75.83529,Rs. 5800,1.0,0.0,0.0,1.0
JPR0094,Amber Address,PG,Boys,26.922626,75.7056,7200,1.0,0.0,1.0,1.0
JPR0095,Sunshine Stay,Independent Flat,Co-ed,26.833608,75.787624,18600,1.0,1.0,1.0,1.0
JPR0096,Serene Court,Independent Flat,Boys,26.842289,75.860753,15200 per month,1.0,0.0,1.0,1.0
JPR0097,Silver Oak Stay,PG,Co-ed,26.915024,75.753502,INR 6900/month,0.0,0.0,0.0,0.0
JPR0098,Elite Point,PG,Co-ed,27.005246,75.698576,9900,0.0,1.0,1.0,1.0
JPR0099,Zenith Enclave,PG,Co-ed,26.91205,75.735823,INR 11100/month,0.0,0.0,0.0,1.0
JPR0100,Comfort Nest,Hostel,Co-ed,26.93698,75.796174,"₹12,600/month",1.0,1.0,1.0,1.0
JPR0101,Crimson Palace,Hostel,Co-ed,26.858498,75.802273,INR 10500/month,1.0,0.0,0.0,1.0
JPR0102,Sunshine Point,Independent Flat,Co-ed,26.841948,75.812175,Rs. 6300,0.0,0.0,0.0,0.0
JPR0103,Blue Orchid Heights,Hostel,Girls,26.822868,75.845327,Rs. 9300,0.0,0.0,0.0,0.0
JPR0104,Copper Leaf Residency,PG,Boys,26.890743,75.81873,7300,1.0,0.0,1.0,1.0
JPR0105,Prime Palace,PG,Co-ed,26.854327,75.869649,INR 5500/month,1.0,0.0,0.0,0.0
JPR0106,Sunshine Enclave,Hostel,Co-ed,26.894664,75.779454,10400,0.0,0.0,1.0,1.0
JPR0107,Blue Orchid Point,PG,Girls,26.950996,75.747076,7500 per month,0.0,0.0,0.0,1.0
JPR0108,Zenith Stay,Hostel,Boys,26.818359,75.872109,Rs. 9400,1.0,0.0,0.0,0.0
JPR0109,Golden Nest Villa,PG,Girls,26.818362,75.850907,7400,0.0,0.0,0.0,1.0
JPR0110,Urban Residency,PG,Boys,26.801436,75.874805,9100 per month,1.0,1.0,0.0,1.0
JPR0111,Cozy Homes,PG,Co-ed,26.842441,75.862397,8400,1.0,1.0,0.0,0.0
JPR0112,Sunshine Court,Hostel,Co-ed,26.807531,75.847052,INR 7700/month,1.0,0.0,1.0,0.0
JPR0113,Green Valley Stay,PG,Boys,26.923959,75.750126,INR 5700/month,0.0,0.0,0.0,1.0
JPR0114,Crimson Homes,Hostel,Girls,26.8325,75.833106,INR 7500/month,1.0,0.0,1.0,0.0
JPR0115,Green Valley Heights,PG,Boys,26.914603,75.760827,INR 9800/month,0.0,1.0,1.0,1.0
JPR0116,Elite Residency,Hostel,Girls,26.755368,75.871422,"₹9,200/month",1.0,1.0,1.0,1.0
JPR0117,Ivory Heights,Hostel,Boys,26.912642,75.736415,10900 per month,1.0,0.0,0.0,0.0
JPR0118,Urban Stay,PG,Girls,26.928027,75.729697,9400 per month,1.0,0.0,1.0,0.0
JPR0119,Highland Court,Hostel,Boys,26.925732,75.899546,INR 17200/month,0.0,1.0,1.0,0.0
JPR0120,Highland Residency,PG,Boys,26.843248,75.802162,"₹5,300/month",0.0,0.0,0.0,0.0
JPR0121,Copper Leaf Point,PG,Girls,26.804315,75.851036,INR 13700/month,,0.0,1.0,0.0
JPR0122,Silver Oak Nest,PG,Boys,26.888051,75.872209,"₹9,100/month",1.0,1.0,1.0,0.0
JPR0123,Sunshine Palace,Hostel,Girls,26.922983,75.632911,INR 5300/month,1.0,0.0,0.0,1.0
JPR0124,Prime Retreat,Independent Flat,Boys,26.805075,75.855874,Rs. 6300,1.0,0.0,0.0,
JPR0125,Silver Oak Villa,Hostel,Girls,26.914423,75.770507,Rs. 5000,0.0,0.0,0.0,0.0
JPR0126,Sunrise Nest,Hostel,Co-ed,26.814189,75.851739,10000,0.0,0.0,0.0,1.0
JPR0127,Cozy Homes,Hostel,Co-ed,26.910112,75.744993,,1.0,0.0,1.0,1.0
JPR0128,Royal Enclave,PG,Co-ed,26.801394,75.689261,7800 per month,0.0,0.0,1.0,0.0
JPR0129,Silver Oak Retreat,Independent Flat,Co-ed,26.842605,75.812965,9000,1.0,1.0,0.0,1.0
JPR0130,Sunshine House,PG,Boys,26.832804,75.822363,Rs. 10900,,0.0,1.0,1.0
JPR0131,Silver Oak Nest,Independent Flat,Boys,26.82088,75.877558,INR 4600/month,0.0,0.0,0.0,0.0
JPR0132,Silver Oak Retreat,Hostel,Girls,26.85747,75.739363,6800,1.0,0.0,0.0,0.0
JPR0133,Maple Manor,Hostel,Co-ed,26.813967,75.85057,INR 9700/month,1.0,0.0,1.0,1.0
JPR0134,Crimson Heights,Hostel,Co-ed,26.886948,75.794849,Rs. 6700,0.0,0.0,0.0,0.0
JPR0135,Cozy Enclave,PG,Boys,26.852828,75.814951,4300,0.0,0.0,0.0,0.0
JPR0136,Prime Address,Hostel,Boys,26.81991,75.849144,Rs. 11900,0.0,0.0,0.0,0.0
JPR0137,Ivory Retreat,PG,Boys,26.821355,75.847058,"₹8,900/month",0.0,0.0,0.0,0.0
JPR0138,Royal Address,Hostel,Co-ed,26.823787,75.796416,Rs. 14100,1.0,1.0,1.0,0.0
JPR0139,Highland Nest,Hostel,Girls,26.817762,75.867408,INR 15300/month,1.0,1.0,0.0,1.0
JPR0140,Crimson Residency,Independent Flat,Boys,26.788836,75.728507,8100 per month,1.0,0.0,0.0,1.0
JPR0141,Silver Oak Point,Hostel,Girls,26.791016,75.851509,Rs. 8700,1.0,0.0,1.0,0.0
JPR0142,Prime Residency,PG,Girls,26.921373,75.74067,9300 per month,1.0,1.0,1.0,1.0
JPR0143,Silver Oak Manor,PG,Co-ed,26.970646,75.67822,"₹8,300/month",1.0,0.0,0.0,1.0
JPR0144,Maple Residency,Hostel,Boys,26.971451,75.734677,5000,1.0,0.0,0.0,1.0
JPR0145,Silver Oak Enclave,PG,Co-ed,26.90888,75.739728,10300,1.0,1.0,0.0,1.0
JPR0146,Maple House,PG,Girls,26.901661,75.702982,,1.0,0.0,1.0,1.0
JPR0147,Comfort House,Hostel,Co-ed,26.843713,75.809137,8000,0.0,0.0,0.0,0.0
JPR0148,Highland Address,Hostel,Co-ed,26.913237,75.743133,Rs. 12300,1.0,1.0,1.0,0.0
JPR0149,Prime Homes,Hostel,Boys,26.897832,75.726078,8300 per month,0.0,1.0,0.0,1.0
JPR0150,Sunshine Homes,PG,Boys,26.928702,75.748716,INR 7000/month,0.0,1.0,1.0,0.0
JPR0151,Crimson Palace,Hostel,Girls,26.943041,75.738432,Rs. 4900,0.0,0.0,1.0,0.0
JPR0152,Ivory Address,PG,Boys,26.818191,75.847148,Rs. 4900,0.0,0.0,0.0,1.0
JPR0153,Zenith Court,Hostel,Co-ed,26.887649,75.753077,Rs. 5400,,0.0,0.0,0.0
JPR0154,Prime Homes,PG,Girls,26.891355,75.702124,INR 4600/month,,1.0,0.0,0.0
JPR0155,Comfort Manor,Independent Flat,Co-ed,26.871189,75.699137,"₹17,800/month",1.0,1.0,1.0,1.0
JPR0156,Maple Court,PG,Boys,26.904061,75.746312,4300,0.0,0.0,0.0,0.0
JPR0157,Zenith House,PG,Boys,26.841074,75.805513,10300 per month,1.0,1.0,1.0,1.0
JPR0158,Silver Oak Manor,Hostel,Girls,26.829269,75.857827,,0.0,0.0,1.0,1.0
JPR0159,Silver Oak Heights,Hostel,Boys,26.839919,75.807266,12200 per month,1.0,1.0,1.0,1.0
JPR0160,Zenith Point,PG,Girls,26.816859,75.847792,7000,0.0,0.0,1.0,1.0
JPR0161,Maple Address,Hostel,Co-ed,26.897021,75.738901,INR 12200/month,1.0,0.0,1.0,1.0
JPR0162,Comfort Heights,PG,Girls,26.921441,75.716581,Rs. 13600,1.0,1.0,1.0,1.0
JPR0163,Cozy Retreat,Independent Flat,Co-ed,26.837993,75.803296,Rs. 14600,1.0,1.0,0.0,1.0
JPR0164,Zenith Nest,Hostel,Boys,26.840194,75.833934,INR 7300/month,0.0,0.0,0.0,0.0
JPR0165,Royal House,PG,Boys,26.829745,75.798524,"₹15,400/month",1.0,1.0,1.0,1.0
JPR0166,Silver Oak Manor,Hostel,Co-ed,26.830093,75.827525,"₹9,100/month",1.0,1.0,1.0,0.0
JPR0167,Sunrise Nest,PG,Co-ed,26.830435,75.763755,10100 per month,0.0,0.0,1.0,0.0
JPR0168,Ivory Stay,PG,Girls,26.802559,75.80609,,0.0,0.0,0.0,0.0
JPR0169,Amber Retreat,Independent Flat,Co-ed,26.823333,75.793487,"₹6,100/month",0.0,0.0,1.0,1.0
JPR0170,Maple Nest,Hostel,Girls,26.832894,75.879005,INR 9600/month,0.0,0.0,1.0,1.0
JPR0171,Sunrise House,PG,Boys,26.875404,75.77428,8200,1.0,0.0,1.0,0.0
JPR0172,Royal Enclave,PG,Boys,26.842507,75.812334,,1.0,1.0,0.0,1.0
JPR0173,Sunrise Enclave,PG,Co-ed,26.840616,75.815996,,0.0,0.0,0.0,1.0
JPR0174,Elite Residency,Independent Flat,Boys,26.832097,75.87848,Rs. 9700,1.0,1.0,1.0,0.0
JPR0175,Golden Nest Villa,PG,Girls,26.834733,75.812007,INR 7400/month,0.0,0.0,,0.0
JPR0176,Sunshine Address,PG,Girls,26.831738,75.850117,INR 10700/month,1.0,1.0,0.0,1.0
JPR0177,Serene House,PG,Girls,26.836546,75.807275,7500 per month,1.0,0.0,0.0,1.0
JPR0178,Cozy Homes,PG,Girls,26.75529,75.77553,Rs. 7200,0.0,0.0,1.0,1.0
JPR0179,Sunshine Stay,PG,Boys,26.807157,75.819481,10900 per month,1.0,0.0,0.0,0.0
JPR0180,Comfort Address,PG,Boys,26.84546,75.793743,Rs. 11800,1.0,1.0,1.0,1.0
JPR0181,Royal Enclave,PG,Girls,26.912476,75.733949,5000 per month,1.0,0.0,0.0,1.0
JPR0182,Cozy Stay,PG,Girls,26.859279,75.808467,4300 per month,1.0,0.0,0.0,
JPR0183,Copper Leaf Homes,Independent Flat,Girls,26.825212,75.819177,8100,0.0,0.0,0.0,0.0
JPR0184,Prime Stay,PG,Girls,26.955046,75.702552,7200 per month,0.0,0.0,0.0,0.0
JPR0185,Royal Address,Hostel,Boys,26.88858,75.672137,INR 5300/month,0.0,1.0,1.0,0.0
JPR0186,Silver Oak Enclave,Hostel,Co-ed,26.841702,75.814683,13600 per month,1.0,1.0,1.0,0.0
JPR0187,Sunrise Villa,Hostel,Girls,26.841092,75.862164,Rs. 8000,0.0,0.0,0.0,1.0
JPR0188,Cozy Nest,Independent Flat,Boys,26.901162,75.754962,6100 per month,1.0,0.0,1.0,0.0
JPR0189,Serene Villa,PG,Girls,26.836751,75.856339,"₹10,300/month",0.0,1.0,,1.0
JPR0190,Highland Court,PG,Co-ed,26.957879,75.728206,Rs. 9800,1.0,0.0,0.0,0.0
JPR0191,Copper Leaf House,PG,Co-ed,26.912129,75.649159,"₹7,200/month",1.0,0.0,,1.0
JPR0192,Green Valley Court,PG,Boys,26.778619,75.846818,Rs. 7000,0.0,0.0,0.0,0.0
JPR0193,Elite Manor,Hostel,Girls,26.755409,75.684867,INR 7200/month,0.0,,1.0,1.0
JPR0194,Ivory Nest,Hostel,Boys,26.807016,75.850103,INR 8000/month,0.0,0.0,0.0,0.0
JPR0195,Comfort Stay,Independent Flat,Boys,26.828713,75.779072,INR 7000/month,1.0,0.0,0.0,0.0
JPR0196,Blue Orchid Residency,PG,Girls,26.840233,75.82774,"₹17,300/month",1.0,1.0,1.0,1.0
JPR0197,Serene Nest,Independent Flat,Girls,26.799499,75.800077,6900,0.0,0.0,0.0,0.0
JPR0198,Prime Nest,PG,Co-ed,26.849305,75.715997,Rs. 9000,0.0,0.0,1.0,1.0
JPR0199,Royal Retreat,PG,Boys,26.924858,75.83261,INR 11700/month,,0.0,0.0,1.0
JPR0200,Prime Point,PG,Boys,26.917182,75.739918,Rs. 7100,1.0,0.0,1.0,1.0
JPR0201,Serene Court,Hostel,Girls,26.89779,75.713014,"₹15,700/month",1.0,1.0,1.0,1.0
JPR0202,Elite Heights,PG,Boys,26.822649,75.846952,6900,1.0,1.0,0.0,1.0
JPR0203,Sunshine Villa,Independent Flat,Boys,26.81244,75.851105,"₹8,400/month",1.0,1.0,0.0,0.0
JPR0204,Elite Villa,Independent Flat,Boys,26.957596,75.77234,Rs. 13400,1.0,1.0,0.0,1.0
JPR0205,Crimson Palace,Independent Flat,Girls,26.893965,75.75222,11700,1.0,1.0,0.0,1.0
JPR0206,Crimson House,PG,Boys,26.822982,75.848587,18400,1.0,0.0,1.0,1.0
JPR0207,Maple Nest,Independent Flat,Girls,26.825129,75.841197,"₹7,000/month",0.0,1.0,0.0,0.0
JPR0208,Green Valley Nest,Hostel,Boys,26.843552,75.81942,INR 11300/month,1.0,0.0,1.0,0.0
JPR0209,Copper Leaf Point,PG,Boys,26.815387,75.848749,Rs. 5700,0.0,0.0,0.0,1.0
JPR0210,Comfort Retreat,PG,Girls,26.822616,75.840667,11300 per month,1.0,1.0,0.0,0.0
JPR0211,Blue Orchid Point,PG,Boys,26.926449,75.733586,16700 per month,0.0,1.0,1.0,1.0
JPR0212,Zenith Enclave,PG,Girls,26.915435,75.732991,"₹5,300/month",0.0,0.0,,0.0
JPR0213,Crimson Point,Hostel,Boys,26.916725,75.699271,Rs. 9600,0.0,0.0,,1.0
JPR0214,Prime Homes,Independent Flat,Girls,26.915204,75.689859,Rs. 5200,1.0,0.0,0.0,1.0
JPR0215,Zenith Nest,PG,Boys,26.927346,75.755052,"₹11,500/month",1.0,1.0,0.0,0.0
JPR0216,Zenith Residency,Hostel,Boys,26.912955,75.736402,Rs. 9000,1.0,0.0,1.0,1.0
JPR0217,Golden Nest Court,Independent Flat,Girls,26.822025,75.82623,INR 15300/month,1.0,0.0,1.0,1.0
JPR0218,Urban Retreat,PG,Co-ed,26.923254,75.747951,"₹10,700/month",1.0,1.0,0.0,0.0
JPR0219,Green Valley Heights,Independent Flat,Boys,26.911114,75.733695,INR 6100/month,0.0,1.0,1.0,0.0
JPR0220,Highland Stay,Hostel,Girls,26.846076,75.826522,Rs. 5300,0.0,0.0,1.0,0.0
JPR0221,Zenith Stay,Hostel,Girls,26.829813,75.856102,"₹7,300/month",0.0,1.0,0.0,0.0
JPR0222,Elite Retreat,PG,Girls,26.813461,75.871255,Rs. 7700,1.0,0.0,0.0,0.0
JPR0223,Sunrise Palace,Hostel,Co-ed,26.802481,75.886846,"₹5,500/month",0.0,0.0,0.0,0.0
JPR0224,Serene Enclave,PG,Boys,26.925943,75.737919,Rs. 15100,1.0,1.0,1.0,1.0
JPR0225,Crimson Stay,Hostel,Co-ed,26.910978,75.737988,INR 8500/month,1.0,0.0,1.0,1.0
JPR0226,Maple Palace,PG,Boys,26.900388,75.727092,INR 9200/month,1.0,0.0,1.0,0.0
JPR0227,Blue Orchid Residency,Independent Flat,Boys,26.814166,75.832896,Rs. 7900,0.0,0.0,0.0,1.0
JPR0228,Silver Oak Address,PG,Co-ed,26.920561,75.687989,"₹12,400/month",1.0,0.0,1.0,1.0
JPR0229,Maple Enclave,PG,Girls,26.758716,75.785712,10400 per month,1.0,1.0,0.0,1.0
JPR0230,Copper Leaf Nest,Hostel,Girls,26.815925,75.852194,INR 7000/month,0.0,0.0,0.0,0.0
JPR0231,Prime Residency,PG,Girls,26.973097,75.821899,INR 8500/month,1.0,0.0,1.0,1.0
JPR0232,Golden Nest Retreat,Hostel,Girls,26.830734,75.801209,10500 per month,1.0,0.0,1.0,0.0
JPR0233,Golden Nest Address,Independent Flat,Boys,26.816793,75.801798,Rs. 6700,1.0,0.0,0.0,0.0
JPR0234,Golden Nest Retreat,Hostel,Girls,26.912198,75.73702,"₹9,100/month",0.0,0.0,1.0,1.0
JPR0235,Comfort Stay,PG,Boys,26.829784,75.859052,Rs. 11600,1.0,0.0,0.0,1.0
JPR0236,Urban Heights,Hostel,Co-ed,26.825313,75.851657,7300,1.0,1.0,0.0,0.0
JPR0237,Maple Stay,Hostel,Co-ed,26.81433,75.850646,INR 12400/month,1.0,1.0,1.0,1.0
JPR0238,Elite Court,Hostel,Boys,26.839278,75.81152,17900,1.0,,1.0,1.0
JPR0239,Maple House,PG,Girls,26.850432,75.784959,INR 10000/month,0.0,1.0,1.0,1.0
JPR0240,Copper Leaf Palace,PG,Boys,26.844693,75.817897,INR 8000/month,,0.0,1.0,1.0
JPR0241,Blue Orchid Stay,Hostel,Boys,26.773005,75.820015,10200,1.0,1.0,1.0,1.0
JPR0242,Urban Manor,PG,Co-ed,26.905425,75.686949,7700,1.0,,1.0,1.0
JPR0243,Amber Residency,PG,Boys,26.955967,75.691434,Rs. 10800,0.0,0.0,0.0,1.0
JPR0244,Silver Oak Residency,PG,Girls,26.837734,75.793975,4900,1.0,1.0,1.0,
JPR0245,Amber Enclave,Hostel,Co-ed,26.831881,75.762622,Rs. 9900,0.0,0.0,1.0,0.0
JPR0246,Golden Nest Court,Independent Flat,Co-ed,26.92638,75.754679,Rs. 13000,1.0,1.0,1.0,0.0
JPR0247,Comfort Court,Hostel,Girls,26.945572,75.757348,Rs. 10700,0.0,1.0,1.0,0.0
JPR0248,Copper Leaf Residency,PG,Girls,26.94686,75.80047,INR 6200/month,0.0,0.0,0.0,1.0
JPR0249,Maple Retreat,PG,Girls,26.929806,75.77951,INR 10500/month,0.0,1.0,1.0,0.0
JPR0250,Silver Oak Stay,Independent Flat,Co-ed,26.891587,75.795809,7100,1.0,0.0,0.0,0.0
