accommodation_id,name,accommodation_type,gender_preference,latitude,longitude,monthly_rent,wifi,ac,food_mess,laundry,monthly_rent_numeric,dist_mnit_jaipur_jln_marg_km,dist_jagatpura_education_belt_km,dist_vaishali_nagar_tech_corridor_km,distance_to_nearest_hub_km,nearest_hub,total_amenities,rent_normalized,vfm_index,monthly_rent_numeric_scaled,distance_to_nearest_hub_km_scaled,total_amenities_scaled,vfm_index_scaled
JPR0011,Cozy Address,PG,Girls,26.903436,75.731287,Rs. 13200,1,1,1,1,13200.0,10.59,15.24,1.13,1.13,Vaishali Nagar Tech Corridor,4,0.59375,6.21,0.9950427497260895,-0.6361114276176256,1.6033289779590365,0.15479533838915546
JPR0012,Serene Address,Independent Flat,Co-ed,26.889098,75.682881,7800 per month,1,0,1,1,7800.0,13.92,18.42,5.94,5.94,Vaishali Nagar Tech Corridor,3,0.25625,9.8,-0.48120068357268636,1.0330625038634933,0.785303989204426,0.9700813699273553
JPR0013,Green Valley Nest,PG,Boys,26.826519,75.874127,6600,0,0,0,0,6600.0,6.31,2.73,16.63,2.73,Jagatpura Education Belt,0,0.18125,0.0,-0.8092547798613032,-0.0808768558151744,-1.6687709770594055,-1.2554905267507386
JPR0014,Cozy House,Hostel,Girls,26.859267,75.915266,11700,1,0,0,1,11700.0,10.32,8.13,18.66,8.13,Jagatpura Education Belt,2,0.5,3.64,0.5849751293653184,1.7930398240180985,-0.03272099955018445,-0.42884953655601804
JPR0015,Crimson Court,PG,Girls,26.922668,75.743711,INR 10400/month,1,0,1,1,10400.0,11.28,15.85,1.34,1.34,Vaishali Nagar Tech Corridor,3,0.41875,6.4,0.22958319171931682,-0.5632368900685538,0.785303989204426,0.1979441812839349
JPR0016,Elite House,Independent Flat,Co-ed,26.716086,75.811051,"₹11,300/month",1,0,0,1,11300.0,14.02,11.72,23.03,11.72,Jagatpura Education Belt,2,0.475,3.81,0.4756237639357795,3.038847394499848,-0.03272099955018445,-0.390242677123847
JPR0017,Copper Leaf Stay,Hostel,Co-ed,26.930896,75.746149,INR 9400/month,1,1,0,0,9400.0,11.88,16.39,2.27,2.27,Vaishali Nagar Tech Corridor,2,0.35625,4.92,-0.043795221854530546,-0.2405067952083791,-0.03272099955018445,-0.13816259494908342
JPR0018,Maple Address,PG,Co-ed,26.849982,75.846885,Rs. 17400,1,0,1,1,17400.0,3.47,3.81,12.93,3.47,MNIT Jaipur (JLN Marg),3,0.85625,3.31,2.1432320867362487,0.17591913364345932,0.785303989204426,-0.5037922636890559
JPR0019,Cozy Enclave,PG,Girls,26.830104,75.904749,10200,1,0,1,1,10200.0,9.2,5.72,19.0,5.72,Jagatpura Education Belt,3,0.40625,6.58,0.17490750900454735,0.9567177502406561,0.785303989204426,0.23882203244741004
JPR0020,Highland Address,Hostel,Boys,26.82044,75.850615,"₹6,400/month",0,0,0,0,6400.0,4.45,0.53,15.22,0.53,Jagatpura Education Belt,0,0.16875,0.0,-0.8639304625760726,-0.8443243920435447,-1.6687709770594055,-1.2554905267507386
JPR0021,Maple Court,Hostel,Co-ed,26.802591,75.843012,Rs. 6400,0,1,1,0,6400.0,5.32,1.6,16.12,1.6,Jagatpura Education Belt,2,0.16875,9.14,-0.8639304625760726,-0.4730112721506555,-0.03272099955018445,0.8201959156612795
JPR0022,Sunrise Retreat,PG,Girls,26.816044,75.847707,Rs. 13800,1,1,0,1,13800.0,4.51,0.17,15.35,0.17,Jagatpura Education Belt,3,0.63125,4.4,1.1590697978703979,-0.9692521706990963,0.785303989204426,-0.2562541649769005
JPR0023,Silver Oak Palace,PG,Boys,26.89886,75.734472,"₹4,900/month",1,0,1,1,4900.0,10.02,14.67,1.51,1.51,Vaishali Nagar Tech Corridor,3,0.075,24.0,-1.2739980829368438,-0.5042432168145434,0.785303989204426,4.194889628379287
JPR0024,Silver Oak Point,Hostel,Boys,26.831573,75.821566,Rs. 4500,1,0,0,0,4500.0,1.46,3.27,12.3,1.46,MNIT Jaipur (JLN Marg),1,0.05,10.0,-1.3833494483663826,-0.52159429718337,-0.8507459883047949,1.0155012045534386
JPR0025,Silver Oak Retreat,PG,Co-ed,26.85256,75.83014,"₹10,400/month",1,1,0,1,10400.0,2.05,4.51,11.39,2.05,MNIT Jaipur (JLN Marg),3,0.41875,6.4,0.22958319171931682,-0.3168515488312162,0.785303989204426,0.1979441812839349
JPR0026,Highland Retreat,Hostel,Boys,26.915222,75.732929,"₹9,200/month",0,0,0,1,9200.0,11.36,15.99,0.5,0.5,Vaishali Nagar Tech Corridor,1,0.34375,2.54,-0.09847090456930002,-0.8547350402648407,-0.8507459883047949,-0.6786586269994775
JPR0027,Green Valley Manor,PG,Girls,26.796179,75.865686,10500 per month,1,1,1,0,10500.0,7.32,2.72,18.17,2.72,Jagatpura Education Belt,3,0.425,6.32,0.25692103307670155,-0.08434707188893965,0.785303989204426,0.17977624743350148
JPR0028,Golden Nest Residency,Independent Flat,Girls,26.811406,75.843135,INR 13000/month,1,1,1,1,13000.0,4.55,0.79,15.4,0.79,Jagatpura Education Belt,4,0.58125,6.34,0.94036706701132,-0.7540987741256464,1.6033289779590365,0.18431823089610974
JPR0029,Prime House,Independent Flat,Boys,26.853885,75.815107,Rs. 4600,0,0,0,0,4600.0,1.32,5.43,10.12,1.32,MNIT Jaipur (JLN Marg),0,0.05625,0.0,-1.356011607008998,-0.5701773222160844,-1.6687709770594055,-1.2554905267507386
JPR0030,Cozy Manor,Independent Flat,Boys,26.814989,75.845213,Rs. 4600,0,0,0,0,4600.0,4.4,0.43,15.26,0.43,Jagatpura Education Belt,0,0.05625,0.0,-1.356011607008998,-0.8790265527811979,-1.6687709770594055,-1.2554905267507386
JPR0031,Crimson Nest,PG,Co-ed,26.936176,75.741403,5100 per month,0,0,0,0,5100.0,12.63,17.14,2.69,2.69,Vaishali Nagar Tech Corridor,0,0.0875,0.0,-1.2193224002220742,-0.0947577201102357,-1.6687709770594055,-1.2554905267507386
JPR0032,Comfort House,Independent Flat,Co-ed,26.842871,75.819291,18500 per month,1,1,1,0,18500.0,0.63,4.24,11.25,0.63,MNIT Jaipur (JLN Marg),3,0.925,3.08,2.4439483416674808,-0.8096222313058916,0.785303989204426,-0.556025073509052
JPR0033,Amber Palace,PG,Boys,26.937207,75.740277,11700 per month,1,0,1,0,11700.0,12.79,17.3,2.79,2.79,Vaishali Nagar Tech Corridor,2,0.5,3.64,0.5849751293653184,-0.060055559372582466,-0.03272099955018445,-0.42884953655601804
JPR0034,Urban Court,Hostel,Co-ed,26.772904,75.855982,7400,1,1,0,0,7400.0,8.81,4.81,19.5,4.81,Jagatpura Education Belt,2,0.23125,7.11,-0.5905520490022252,0.640928087528012,-0.03272099955018445,0.3591845942065315
JPR0035,Urban Nest,Hostel,Co-ed,26.78928,75.823604,13500,1,1,1,1,13500.0,5.98,3.91,16.16,3.91,Jagatpura Education Belt,4,0.6125,6.04,1.0770562737982436,0.3286086408891334,1.6033289779590365,0.11618847895698446
JPR0036,Copper Leaf Retreat,PG,Girls,26.91727,75.740819,14200,1,1,1,0,14200.0,11.0,15.6,0.68,0.68,Vaishali Nagar Tech Corridor,3,0.65625,4.25,1.268421163299937,-0.7922711509370649,0.785303989204426,-0.29031904094646327
JPR0037,Crimson Homes,Independent Flat,Girls,26.841112,75.806074,"₹13,700/month",0,1,1,1,13700.0,0.7,5.14,10.48,0.7,MNIT Jaipur (JLN Marg),3,0.625,4.44,1.131731956513013,-0.7853307187895342,0.785303989204426,-0.2471701980516838
JPR0038,Golden Nest Address,PG,Co-ed,26.836857,75.806622,Rs. 17900,1,1,1,1,17900.0,0.87,4.85,10.88,0.87,MNIT Jaipur (JLN Marg),4,0.8875,4.27,2.2799212935231723,-0.7263370455355238,1.6033289779590365,-0.285777057483855
JPR0039,Green Valley Villa,Hostel,Girls,26.906688,75.725672,INR 5100/month,1,0,0,0,5100.0,11.24,15.9,1.27,1.27,Vaishali Nagar Tech Corridor,1,0.0875,7.27,-1.2193224002220742,-0.5875284025849111,-0.8507459883047949,0.39552046190739815
JPR0040,Prime Address,Hostel,Boys,26.910916,75.742382,"₹11,700/month",0,1,1,0,11700.0,10.37,14.99,0.57,0.57,Vaishali Nagar Tech Corridor,2,0.5,3.64,0.5849751293653184,-0.8304435277484835,-0.03272099955018445,-0.42884953655601804
JPR0041,Prime Homes,Hostel,Co-ed,26.893079,75.817669,Rs. 8900,1,1,1,1,8900.0,5.68,9.15,8.3,5.68,MNIT Jaipur (JLN Marg),4,0.325,10.67,-0.18048442864145423,0.9428368859455948,1.6033289779590365,1.1676576505508185
JPR0042,Highland Retreat,PG,Girls,26.842727,75.815178,Rs. 16500,1,1,1,1,16500.0,0.22,4.53,10.97,0.22,MNIT Jaipur (JLN Marg),4,0.8,4.71,1.8971915145197857,-0.9519010903302696,1.6033289779590365,-0.18585342130647112
JPR0043,Maple Stay,PG,Boys,26.842453,75.813617,10100 per month,0,1,0,1,10100.0,0.07,4.62,10.88,0.07,MNIT Jaipur (JLN Marg),2,0.4,4.44,0.14756966764716262,-1.0039543314367496,-0.03272099955018445,-0.2471701980516838
JPR0044,Royal House,Hostel,Girls,26.878269,75.772713,10100 per month,1,0,1,1,10100.0,5.66,10.3,5.2,5.2,Vaishali Nagar Tech Corridor,3,0.4,6.67,0.14756966764716262,0.7762665144048596,0.785303989204426,0.2592609580291476
JPR0045,Maple Manor,PG,Girls,26.862869,75.761646,"₹8,300/month",1,0,1,0,8300.0,5.59,10.16,6.02,5.59,MNIT Jaipur (JLN Marg),2,0.2875,5.93,-0.34451147678576266,0.911604941281707,-0.03272099955018445,0.09120756991263844
JPR0046,Ivory Heights,PG,Co-ed,26.911743,75.747346,6100 per month,1,0,0,0,6100.0,10.11,14.71,1.05,1.05,Vaishali Nagar Tech Corridor,1,0.15,5.0,-0.9459439866482269,-0.6638731562077481,-0.8507459883047949,-0.11999466109864998
JPR0047,Urban Address,PG,Girls,26.90323,75.730318,Rs. 12200,1,1,1,1,12200.0,10.64,15.3,1.2,1.2,Vaishali Nagar Tech Corridor,4,0.53125,6.88,0.7216643361522421,-0.6118199151012683,1.6033289779590365,0.3069517843865353
JPR0048,Silver Oak Stay,PG,Boys,26.837204,75.80746,18900 per month,1,1,1,1,18900.0,0.78,4.79,10.9,0.78,MNIT Jaipur (JLN Marg),4,0.95,4.0,2.5532997070970196,-0.7575689901994117,1.6033289779590365,-0.3470938342290677
JPR0049,Elite Villa,Independent Flat,Girls,26.830967,75.80873,17600,1,1,1,1,17600.0,1.32,4.37,11.52,1.32,MNIT Jaipur (JLN Marg),4,0.86875,4.35,2.197907769451018,-0.5701773222160844,1.6033289779590365,-0.2676091236334216
JPR0050,Prime Address,PG,Girls,26.908742,75.75071,8000 per month,0,0,0,1,8000.0,9.64,14.24,1.43,1.43,Vaishali Nagar Tech Corridor,1,0.26875,3.14,-0.4265250008579169,-0.532004945404666,-0.8507459883047949,-0.542399123121227
JPR0051,Royal Address,Hostel,Boys,26.95866,75.847993,Rs. 4500,0,0,0,0,4500.0,13.41,15.89,12.17,12.17,Vaishali Nagar Tech Corridor,0,0.05,0.0,-1.3833494483663826,3.195007117819287,-1.6687709770594055,-1.2554905267507386
JPR0052,Amber Stay,PG,Girls,26.844503,75.810197,"₹7,800/month",0,0,0,0,7800.0,0.38,5.03,10.48,0.38,MNIT Jaipur (JLN Marg),0,0.25625,0.0,-0.48120068357268636,-0.8963776331500246,-1.6687709770594055,-1.2554905267507386
JPR0053,Green Valley Nest,PG,Co-ed,26.857235,75.876801,INR 9300/month,1,1,0,1,9300.0,6.55,5.35,15.17,5.35,Jagatpura Education Belt,3,0.35,7.5,-0.07113306321191529,0.8283197555113393,0.785303989204426,0.4477532717273943
JPR0054,Copper Leaf Point,PG,Boys,26.925968,75.773547,14400 per month,1,1,1,1,14400.0,10.1,14.38,3.95,3.95,Vaishali Nagar Tech Corridor,4,0.66875,5.57,1.3230968460147063,0.3424895051841947,1.6033289779590365,0.009451867585688185
JPR0055,Sunrise Villa,PG,Girls,26.84214,75.81357,Rs. 6800,0,1,0,0,6800.0,0.06,4.61,10.9,0.06,MNIT Jaipur (JLN Marg),1,0.19375,4.1,-0.7545790971465337,-1.0074245475105148,-0.8507459883047949,-0.324383916916026
JPR0056,Sunshine Retreat,PG,Boys,26.86916,75.819365,INR 10800/month,0,0,1,1,10800.0,3.06,6.64,9.49,3.06,MNIT Jaipur (JLN Marg),2,0.44375,4.05,0.3389345571488558,0.03364027461908117,-0.03272099955018445,-0.33573887557254684
JPR0057,Crimson Villa,Hostel,Boys,26.916603,75.742585,INR 19400/month,1,1,0,1,19400.0,10.83,15.42,0.75,0.75,Vaishali Nagar Tech Corridor,3,0.98125,2.91,2.6899889138839432,-0.7679796384207077,0.785303989204426,-0.594631932941223
JPR0058,Highland Court,PG,Boys,26.882577,75.808551,11100,1,1,1,0,11100.0,4.51,8.46,7.85,4.51,MNIT Jaipur (JLN Marg),3,0.4625,5.85,0.42094808122100996,0.5368216053150524,0.785303989204426,0.073039636062205
JPR0059,Blue Orchid House,PG,Boys,26.920237,75.753404,INR 12200/month,0,0,0,0,12200.0,10.5,15.02,1.87,1.87,Vaishali Nagar Tech Corridor,0,0.53125,0.0,0.7216643361522421,-0.3793154381589919,-1.6687709770594055,-1.2554905267507386
JPR0060,Sunshine Point,PG,Co-ed,26.849312,75.813925,Rs. 11600,0,1,0,1,11600.0,0.8,5.13,10.37,0.8,MNIT Jaipur (JLN Marg),2,0.49375,3.68,0.5576372880079337,-0.7506285580518812,-0.03272099955018445,-0.4197655696308013
JPR0061,Amber Enclave,PG,Boys,26.883069,75.854811,Rs. 9700,1,0,1,1,9700.0,6.15,7.5,12.15,6.15,MNIT Jaipur (JLN Marg),3,0.375,7.06,0.038218302217623665,1.105937041412565,0.785303989204426,0.34782963555001045
JPR0062,Highland Nest,Independent Flat,Girls,26.839286,75.834442,5100 per month,1,1,0,1,5100.0,2.15,3.0,12.64,2.15,MNIT Jaipur (JLN Marg),3,0.0875,21.82,-1.2193224002220742,-0.282149388093563,0.785303989204426,3.6998134309549764
JPR0063,Highland Heights,Hostel,Boys,26.805237,75.8328,9200 per month,1,1,1,0,9200.0,4.56,2.02,15.25,2.02,Jagatpura Education Belt,3,0.34375,7.62,-0.09847090456930002,-0.3272621970525121,0.785303989204426,0.47500517250304447
JPR0064,Green Valley Stay,PG,Co-ed,26.826582,75.892415,11200 per month,1,0,0,0,11200.0,8.07,4.43,18.14,4.43,Jagatpura Education Belt,1,0.46875,1.93,0.4482859225783947,0.5090598767249299,-0.8507459883047949,-0.8171891226090324
JPR0065,Zenith Homes,PG,Girls,26.912462,75.737012,INR 19600/month,1,0,1,1,19600.0,10.86,15.49,0.03,0.03,Vaishali Nagar Tech Corridor,3,0.99375,2.87,2.744664596598713,-1.0178351957318108,0.785303989204426,-0.6037158998664397
JPR0066,Golden Nest Enclave,Independent Flat,Girls,26.878617,75.771612,INR 7800/month,1,0,1,1,7800.0,5.77,10.41,5.09,5.09,Vaishali Nagar Tech Corridor,3,0.25625,9.8,-0.48120068357268636,0.738094137593441,0.785303989204426,0.9700813699273553
JPR0067,Crimson Palace,PG,Boys,26.825661,75.79944,11500,1,1,1,0,11500.0,2.28,5.08,11.46,2.28,MNIT Jaipur (JLN Marg),3,0.4875,5.58,0.530299446650549,-0.23703657913461385,0.785303989204426,0.011722859316992313
JPR0068,Crimson Address,Hostel,Girls,26.826932,75.874023,6900 per month,0,0,0,0,6900.0,6.29,2.74,16.59,2.74,Jagatpura Education Belt,0,0.2,0.0,-0.727241255789149,-0.077406639741409,-1.6687709770594055,-1.2554905267507386
JPR0069,Sunshine Manor,PG,Boys,26.793891,75.843312,"₹10,300/month",1,0,1,0,10300.0,6.16,2.51,16.88,2.51,Jagatpura Education Belt,2,0.4125,4.32,0.20224535036193209,-0.1572216094380115,-0.03272099955018445,-0.274422098827334
JPR0070,Silver Oak Retreat,Independent Flat,Co-ed,26.83429,75.794162,6000,0,1,0,0,6000.0,2.07,5.85,10.37,2.07,MNIT Jaipur (JLN Marg),1,0.14375,5.16,-0.9732818280056116,-0.30991111668368554,-0.8507459883047949,-0.08365879339778311
JPR0071,Highland Palace,Independent Flat,Girls,26.842744,75.81405,"₹6,000/month",0,0,0,0,6000.0,0.12,4.61,10.89,0.12,MNIT Jaipur (JLN Marg),0,0.14375,0.0,-0.9732818280056116,-0.9866032510679228,-1.6687709770594055,-1.2554905267507386
JPR0072,Silver Oak Residency,Hostel,Girls,26.938478,75.753618,INR 8200/month,0,1,0,0,8200.0,12.22,16.62,3.35,3.35,Vaishali Nagar Tech Corridor,1,0.28125,3.02,-0.3718493181431474,0.13427654075827547,-0.8507459883047949,-0.569651023896877
JPR0073,Urban Stay,PG,Girls,26.842808,75.836319,18900,1,0,0,1,18900.0,2.31,3.27,12.54,2.31,MNIT Jaipur (JLN Marg),2,0.95,2.0,2.5532997070970196,-0.2266259309133178,-0.03272099955018445,-0.8012921804899031
JPR0074,Crimson Point,PG,Boys,26.839526,75.825082,5600,0,1,0,0,5600.0,1.24,3.58,11.92,1.24,MNIT Jaipur (JLN Marg),1,0.11875,5.93,-1.0826331934351505,-0.597939050806207,-0.8507459883047949,0.09120756991263844
JPR0075,Copper Leaf Heights,PG,Girls,26.813887,75.838517,Rs. 10100,1,0,0,0,10100.0,4.04,1.1,14.88,1.1,Jagatpura Education Belt,1,0.4,2.22,0.14756966764716262,-0.6465220758389215,-0.8507459883047949,-0.7513303624012112
JPR0076,Comfort Stay,PG,Girls,26.83494,75.809394,INR 12600/month,1,0,1,0,12600.0,0.88,4.5,11.22,0.88,MNIT Jaipur (JLN Marg),2,0.55625,3.3,0.8310157015817811,-0.7228668294617586,-0.03272099955018445,-0.5060632554203601
JPR0077,Royal Residency,PG,Girls,26.834685,75.799026,INR 5700/month,1,1,0,0,5700.0,1.62,5.42,10.61,1.62,MNIT Jaipur (JLN Marg),2,0.125,11.43,-1.055295352077766,-0.4660708400031249,-0.03272099955018445,1.3402530221299358
JPR0078,Highland Court,PG,Girls,26.809002,75.780116,11000,1,1,1,1,11000.0,4.93,6.92,12.26,4.93,MNIT Jaipur (JLN Marg),4,0.45625,7.9,0.39361023986362526,0.6825706804131958,1.6033289779590365,0.5385929409795615
JPR0079,Copper Leaf Stay,Hostel,Boys,26.917646,75.73799,INR 11200/month,1,0,1,0,11200.0,11.21,15.82,0.61,0.61,Vaishali Nagar Tech Corridor,2,0.46875,3.86,0.4482859225783947,-0.8165626634534222,-0.03272099955018445,-0.3788877184673262
JPR0080,Maple Retreat,Hostel,Boys,26.906636,75.732479,10800,1,0,0,1,10800.0,10.73,15.38,0.76,0.76,Vaishali Nagar Tech Corridor,2,0.44375,4.05,0.3389345571488558,-0.7645094223469424,-0.03272099955018445,-0.33573887557254684
JPR0081,Crimson Homes,PG,Co-ed,26.761314,75.789201,Rs. 5900,1,0,0,0,5900.0,9.3,8.51,17.58,8.51,Jagatpura Education Belt,1,0.1375,5.33,-1.0006196693629963,1.9249080348211804,-0.8507459883047949,-0.04505193396561211
JPR0082,Zenith Point,PG,Girls,26.805469,75.869188,7600,1,0,0,0,7600.0,6.91,2.28,17.71,2.28,Jagatpura Education Belt,1,0.24375,3.4,-0.5358763662874558,-0.23703657913461385,-0.8507459883047949,-0.48335333810731834
JPR0083,Copper Leaf Homes,Independent Flat,Girls,26.84182,75.872488,INR 9400/month,1,0,0,1,9400.0,5.9,3.69,15.57,3.69,Jagatpura Education Belt,2,0.35625,4.92,-0.043795221854530546,0.2522638872662963,-0.03272099955018445,-0.13816259494908342
JPR0084,Golden Nest Retreat,PG,Co-ed,26.81556,75.847447,INR 10800/month,1,1,0,0,10800.0,4.52,0.2,15.37,0.2,Jagatpura Education Belt,2,0.44375,4.05,0.3389345571488558,-0.9588415224778002,-0.03272099955018445,-0.33573887557254684
JPR0085,Highland Stay,Hostel,Boys,26.809984,75.833411,7200,0,0,0,0,7200.0,4.12,1.71,14.88,1.71,Jagatpura Education Belt,0,0.21875,0.0,-0.6452277317169948,-0.43483889533923703,-1.6687709770594055,-1.2554905267507386
JPR0086,Serene Stay,PG,Co-ed,26.912591,75.751209,10300,1,0,0,0,10300.0,9.94,14.52,1.43,1.43,Vaishali Nagar Tech Corridor,1,0.4125,2.16,0.20224535036193209,-0.532004945404666,-0.8507459883047949,-0.7649563127890363
JPR0087,Green Valley Point,PG,Co-ed,26.924066,75.695678,6300,0,0,0,0,6300.0,14.77,19.43,4.28,4.28,Vaishali Nagar Tech Corridor,0,0.1625,0.0,-0.8912683039334575,0.45700663561845023,-1.6687709770594055,-1.2554905267507386
JPR0088,Copper Leaf Heights,PG,Co-ed,26.812094,75.879052,8400 per month,0,1,1,1,8400.0,7.36,2.97,17.98,2.97,Jagatpura Education Belt,3,0.29375,8.73,-0.3171736354283779,0.0024083299551933444,0.785303989204426,0.7270852546778082
JPR0089,Serene Address,PG,Co-ed,26.879851,75.759414,INR 4200/month,0,0,0,0,4200.0,6.77,11.42,4.25,4.25,Vaishali Nagar Tech Corridor,0,0.03125,0.0,-1.4653629724385369,0.4465959873971542,-1.6687709770594055,-1.2554905267507386
JPR0090,Royal Residency,Hostel,Boys,26.817678,75.848197,INR 14300/month,1,0,1,1,14300.0,4.43,0.24,15.26,0.24,Jagatpura Education Belt,3,0.6625,4.21,1.2957590046573215,-0.944960658182739,0.785303989204426,-0.29940300787168
JPR0091,Comfort Point,Hostel,Boys,26.845353,75.811858,,0,0,1,0,9100.0,0.37,4.97,10.53,0.37,MNIT Jaipur (JLN Marg),1,0.3375,2.58,-0.12580874592668476,-0.8998478492237898,-0.8507459883047949,-0.6695746600742608
JPR0092,Green Valley Nest,PG,Girls,26.821073,75.863084,5100,0,0,0,1,5100.0,5.5,1.48,16.12,1.48,Jagatpura Education Belt,1,0.0875,7.27,-1.2193224002220742,-0.5146538650358393,-0.8507459883047949,0.39552046190739815
JPR0093,Crimson Residency,Independent Flat,Boys,26.828071,75.83529,Rs. 5800,1,0,0,1,5800.0,2.71,1.96,13.53,1.96,Jagatpura Education Belt,2,0.13125,11.03,-1.027957510720381,-0.34808349349510403,-0.03272099955018445,1.2494133528777687
JPR0094,Amber Address,PG,Boys,26.922626,75.7056,7200,1,0,1,1,7200.0,13.91,18.56,3.3,3.3,Vaishali Nagar Tech Corridor,3,0.21875,11.16,-0.6452277317169948,0.11692546038944877,0.785303989204426,1.2789362453847233
JPR0095,Sunshine Stay,Independent Flat,Co-ed,26.833608,75.787624,18600,1,1,1,1,18600.0,2.69,6.44,10.1,2.69,MNIT Jaipur (JLN Marg),4,0.93125,4.08,2.471286183024865,-0.0947577201102357,1.6033289779590365,-0.3289259003786343
JPR0096,Serene Court,Independent Flat,Boys,26.842289,75.860753,15200 per month,1,0,1,1,15200.0,4.74,3.15,14.55,3.15,Jagatpura Education Belt,3,0.71875,3.9,1.5417995768737842,0.064872219282969,0.785303989204426,-0.3698037515421095
JPR0097,Silver Oak Stay,PG,Co-ed,26.915024,75.753502,INR 6900/month,0,0,0,0,6900.0,10.02,14.57,1.68,1.68,Vaishali Nagar Tech Corridor,0,0.2,0.0,-0.727241255789149,-0.445249543560533,-1.6687709770594055,-1.2554905267507386
JPR0098,Elite Point,PG,Co-ed,27.005246,75.698576,9900,0,1,1,1,9900.0,21.39,25.83,11.01,11.01,Vaishali Nagar Tech Corridor,3,0.3875,6.86,0.09289398493239313,2.79246205326251,0.785303989204426,0.30240980092392705
JPR0099,Zenith Enclave,PG,Co-ed,26.91205,75.735823,INR 11100/month,0,0,0,1,11100.0,10.91,15.54,0.1,0.1,Vaishali Nagar Tech Corridor,1,0.4625,1.95,0.42094808122100996,-0.9935436832154535,-0.8507459883047949,-0.812647139146424
JPR0100,Comfort Nest,Hostel,Co-ed,26.93698,75.796174,"₹12,600/month",1,1,1,1,12600.0,10.67,14.47,6.49,6.49,Vaishali Nagar Tech Corridor,4,0.55625,6.6,0.8310157015817811,1.2239243879205859,1.6033289779590365,0.2433640159100183
JPR0101,Crimson Palace,Hostel,Co-ed,26.858498,75.802273,INR 10500/month,1,0,0,1,10500.0,2.1,6.66,8.83,2.1,MNIT Jaipur (JLN Marg),2,0.425,4.21,0.25692103307670155,-0.29950046846238954,-0.03272099955018445,-0.29940300787168
JPR0102,Sunshine Point,Independent Flat,Co-ed,26.841948,75.812175,Rs. 6300,0,0,0,0,6300.0,0.09,4.7,10.82,0.09,MNIT Jaipur (JLN Marg),0,0.1625,0.0,-0.8912683039334575,-0.9970138992892189,-1.6687709770594055,-1.2554905267507386
